step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
226,3,0.525608,0.0,0.525608,0.0,0.0,1e-05,0.114604,4.28125,5.3125,0.00021166,6e-08
227,3,0.691915,0.0,0.691915,0.0,0.0,1e-05,0.4038,4.28125,5.1875,0.00021237,1.5e-07
228,3,0.564181,0.0,0.564181,0.0,0.0,1e-05,0.12034,5.3125,5.875,0.00021294,7e-08
229,3,0.483,0.0,0.483,0.0,0.0,1e-05,0.126082,5.03125,5.6875,0.00021361,5e-08
230,3,0.540723,0.0,0.540723,0.0,0.0,1e-05,0.113092,5.15625,5.84375,0.00021421,4e-08
231,3,0.476472,0.0,0.476472,0.0,0.0,1e-05,0.251683,5.5625,5.375,0.00021481,2e-07
232,3,0.498983,0.0,0.498983,0.0,0.0,1e-05,0.323145,5.34375,5.90625,0.00021504,4.2e-07
233,3,0.633317,0.0,0.633317,0.0,0.0,1e-05,0.291824,5.3125,6.15625,0.00021586,1.8e-07
234,3,0.43692,0.0,0.43692,0.0,0.0,1e-05,0.117417,5.03125,5.875,0.00021712,6e-08
235,3,0.624955,0.0,0.624955,0.0,0.0,1e-05,0.096661,4.4375,5.4375,0.00021837,1e-08
236,3,0.51218,0.0,0.51218,0.0,0.0,1e-05,0.148579,4.28125,5.5625,0.00021952,1e-07
237,3,0.484303,0.0,0.484303,0.0,0.0,1e-05,0.148431,5.1875,5.78125,0.00022049,8e-08
