step,epoch,rf_loss,id_loss,total_loss,lam,gamma,lr,grad_norm,v_pred_absmax,target_v_absmax,lora_diff_mean,lora_grad_mean
168,2,0.411479,0.0,0.411479,0.0,0.167,3e-05,0.308703,5.6875,6.34375,0.00035361,6e-08
169,2,0.442275,0.0,0.442275,0.0,0.168,3e-05,0.700162,4.40625,5.4375,0.0003544,7e-08
170,2,0.259281,0.0,0.259281,0.0,0.169,3e-05,0.154652,5.125,5.6875,0.000355,2e-08
171,2,0.357588,0.0,0.357588,0.0,0.17,3e-05,0.35903,4.96875,5.8125,0.00035564,6e-08
172,2,0.391801,0.0,0.391801,0.0,0.171,3e-05,0.140627,4.84375,5.46875,0.00035615,2e-08
173,2,0.244703,0.0,0.244703,0.0,0.172,3e-05,0.077592,5.6875,5.75,0.00035669,1e-08
174,2,0.370693,0.0,0.370693,0.0,0.173,3e-05,0.943933,5.53125,5.53125,0.00035723,1e-07
175,2,0.357151,0.0,0.357151,0.0,0.174,3e-05,0.222011,5.28125,5.6875,0.00035836,6e-08
176,2,0.461002,0.0,0.461002,0.0,0.175,3e-05,0.159783,4.96875,5.4375,0.00035984,3e-08
177,2,0.286706,0.0,0.286706,0.0,0.176,3e-05,0.08798,5.21875,5.4375,0.00036124,2e-08
178,2,0.303682,0.0,0.303682,0.0,0.177,3e-05,0.933962,5.25,5.4375,0.00036266,1.4e-07
179,2,0.383316,0.0,0.383316,0.0,0.178,3e-05,0.126762,5.15625,5.15625,0.00036432,2e-08
180,2,0.321745,0.0,0.321745,0.0,0.179,3e-05,0.087419,4.71875,5.375,0.00036587,1e-08
181,2,0.364808,0.0,0.364808,0.0,0.18,3e-05,0.190813,5.96875,6.1875,0.00036734,1e-08
182,2,0.379896,0.0,0.379896,0.0,0.181,3e-05,0.159591,6.84375,6.375,0.00036874,3e-08
183,2,0.384875,0.0,0.384875,0.0,0.182,3e-05,0.117923,5.0625,5.4375,0.00037005,1e-08
184,2,0.445259,0.0,0.445259,0.0,0.183,3e-05,0.081408,4.9375,5.5625,0.00037129,1e-08
185,2,0.522956,0.0,0.522956,0.0,0.184,3e-05,0.176023,5.28125,5.53125,0.00037244,2e-08
186,2,0.291399,0.0,0.291399,0.0,0.185,3e-05,0.178977,5.34375,5.625,0.00037338,3e-08
187,2,0.384358,0.0,0.384358,0.0,0.186,3e-05,0.230078,5.0625,5.28125,0.00037441,6e-08
188,2,0.268709,0.0,0.268709,0.0,0.187,3e-05,0.090925,5.46875,6.0,0.00037546,2e-08
189,2,0.508016,0.0,0.508016,0.0,0.188,3e-05,0.165163,4.40625,5.46875,0.00037651,3e-08
190,2,0.366164,0.0,0.366164,0.0,0.189,3e-05,0.354885,5.625,6.34375,0.00037748,5e-08
191,2,0.410882,0.0,0.410882,0.0,0.19,3e-05,0.06326,4.96875,5.0,0.00037845,1e-08
192,2,0.356223,0.0,0.356223,0.0,0.191,3e-05,0.172709,5.21875,5.21875,0.00037936,3e-08
193,2,0.350236,0.0,0.350236,0.0,0.192,3e-05,2.690445,5.03125,5.25,0.00038015,3.6e-07
194,2,0.382809,0.0,0.382809,0.0,0.193,3e-05,0.394955,4.84375,5.125,0.00038045,5e-08
195,2,0.30986,0.0,0.30986,0.0,0.194,3e-05,0.057031,5.59375,5.8125,0.00038098,1e-08
196,2,0.335456,0.0,0.335456,0.0,0.195,3e-05,0.254872,5.78125,5.375,0.00038169,2e-08
197,2,0.480782,0.0,0.480782,0.0,0.196,3e-05,0.21137,4.15625,5.8125,0.00038269,3e-08
198,2,0.29508,0.0,0.29508,0.0,0.197,3e-05,0.245403,5.1875,5.40625,0.00038388,2e-08
199,2,0.359409,0.0,0.359409,0.0,0.198,3e-05,0.410403,5.125,5.71875,0.00038508,4e-08
200,2,0.31413,0.0,0.31413,0.0,0.199,3e-05,0.074218,5.15625,5.25,0.00038633,1e-08
201,2,0.424896,0.0,0.424896,0.0,0.2,3e-05,0.084865,4.84375,5.5625,0.00038755,1e-08
202,2,0.461537,0.0,0.461537,0.0,0.201,3e-05,0.220351,5.53125,5.5,0.00038871,3e-08
203,2,0.386549,0.0,0.386549,0.0,0.202,3e-05,0.309091,5.125,7.0625,0.00038961,4e-08
204,2,0.436799,0.0,0.436799,0.0,0.203,3e-05,0.121216,4.4375,5.3125,0.00039054,3e-08
205,2,0.31739,0.0,0.31739,0.0,0.204,3e-05,0.090051,5.625,5.8125,0.00039152,1e-08
206,2,0.372543,0.0,0.372543,0.0,0.205,3e-05,0.136875,5.1875,5.125,0.00039247,2e-08
207,2,0.339549,0.0,0.339549,0.0,0.206,3e-05,0.155118,6.0,5.84375,0.00039348,5e-08
208,2,0.226959,0.0,0.226959,0.0,0.207,3e-05,0.139754,5.1875,4.84375,0.00039454,2e-08
209,2,0.361815,0.0,0.361815,0.0,0.208,3e-05,0.188455,4.75,5.3125,0.00039546,2e-08
210,2,0.273789,0.0,0.273789,0.0,0.209,3e-05,0.282817,5.1875,5.25,0.00039633,4e-08
211,2,0.392638,0.0,0.392638,0.0,0.21,3e-05,0.06861,4.90625,5.46875,0.0003971,2e-08
212,2,0.419833,0.0,0.419833,0.0,0.211,3e-05,0.210901,4.84375,5.5,0.0003979,2e-08
213,2,0.354201,0.0,0.354201,0.0,0.212,3e-05,0.090894,5.15625,5.625,0.00039883,2e-08
214,2,0.29271,0.0,0.29271,0.0,0.213,3e-05,0.166092,5.03125,5.65625,0.00039969,2e-08
215,2,0.418108,0.0,0.418108,0.0,0.214,3e-05,0.185798,5.15625,5.1875,0.00040054,2e-08
216,2,0.272558,0.0,0.272558,0.0,0.215,3e-05,0.121118,4.9375,5.15625,0.00040136,1e-08
217,2,0.392615,0.0,0.392615,0.0,0.216,3e-05,0.108736,5.5,5.625,0.00040217,1e-08
218,2,0.41329,0.0,0.41329,0.0,0.217,3e-05,0.514876,5.125,6.375,0.00040299,5e-08
219,2,0.389208,0.0,0.389208,0.0,0.218,3e-05,0.191958,4.84375,4.9375,0.00040358,4e-08
220,2,0.349832,0.0,0.349832,0.0,0.219,3e-05,0.097826,,,,
221,3,0.341099,0.0,0.341099,0.0,0.22,3e-05,0.253829,4.375,5.15625,0.00040449,4e-08
222,3,0.396874,0.0,0.396874,0.0,0.221,3e-05,0.400669,4.53125,5.5625,0.00040503,5e-08
223,3,0.314498,0.0,0.314498,0.0,0.222,3e-05,0.580612,5.65625,5.96875,0.00040554,9e-08
224,3,0.371745,0.0,0.371745,0.0,0.223,3e-05,0.363726,5.78125,5.6875,0.0004061,3e-08
225,3,0.32694,0.0,0.32694,0.0,0.224,3e-05,0.387787,5.9375,5.78125,0.00040664,5e-08
226,3,0.416296,0.0,0.416296,0.0,0.225,3e-05,0.148165,4.96875,5.4375,0.00040758,2e-08
227,3,0.359207,0.0,0.359207,0.0,0.226,3e-05,0.241921,3.6875,5.4375,0.00040846,3e-08
228,3,0.373054,0.0,0.373054,0.0,0.227,3e-05,0.185296,4.96875,6.1875,0.00040935,3e-08
229,3,0.397462,0.0,0.397462,0.0,0.228,3e-05,0.100192,5.84375,5.5625,0.00041015,1e-08
230,3,0.340076,0.0,0.340076,0.0,0.229,3e-05,0.125573,4.71875,5.125,0.00041095,1e-08
231,3,0.348855,0.0,0.348855,0.0,0.23,3e-05,0.135205,5.65625,5.6875,0.00041172,2e-08
232,3,0.32253,0.0,0.32253,0.0,0.231,3e-05,0.268029,4.96875,5.5625,0.00041239,3e-08
233,3,0.359691,0.0,0.359691,0.0,0.232,3e-05,0.254227,4.3125,5.1875,0.00041309,4e-08
234,3,0.33233,0.0,0.33233,0.0,0.233,3e-05,0.156243,6.4375,6.0,0.00041372,2e-08
235,3,0.399064,0.0,0.399064,0.0,0.234,3e-05,0.203045,4.90625,5.25,0.00041436,2e-08
236,3,0.37744,0.0,0.37744,0.0,0.235,3e-05,0.495552,5.5,5.3125,0.00041492,5e-08
237,3,0.450312,0.0,0.450312,0.0,0.236,3e-05,0.282746,5.21875,5.28125,0.00041547,5e-08
238,3,0.329389,0.0,0.329389,0.0,0.237,3e-05,0.120998,5.5625,5.5625,0.00041575,2e-08
239,3,0.409863,0.0,0.409863,0.0,0.238,3e-05,0.068206,4.90625,5.375,0.00041596,1e-08
